id;siteId;assessmentCriteriaId;logDate;oldScore;newScore;oldRecommendationDescription;newRecommendationDescription;oldRecommendationStatusId;newRecommendationStatusId;oldNotes;newNotes;createDate;createdBy;updateDate;updatedBy
20;39;54;03:36.8;2;3;609523 - CBS - Sofia - Voice-Skype;;3;3;;Compliant infra after 609523 - CBS - Sofia - Voice-Skype;;;;
21;56;47;00:29.5;1;1;Full LAN Assessment;Full LAN Assessment;2;2;many non standard un-managed switches found in the LAN, plus multiple media converters which are also non-standard.;many non standard un-managed switches found in the LAN, plus multiple media converters which are also non-standard.  daisy chained switches.;54:43.8;;54:43.8;CHRIS SOUTHERN
22;15;34;57:16.7;3;3;unknown UPS health status. no info provided;;3;5;new building (shelter) arrived on site end iof August;CR build performed;;;;
23;15;16;58:08.1;3;3;;;5;5;new building (shelter) installed;New build completed;;;56:24.2;FABIO FERKET
24;15;34;58:16.5;3;3;;;5;5;CR build performed;New build completed;;;57:16.7;FABIO FERKET
25;15;20;58:31.6;1;3;remove boxes and spare parts;remove boxes and spare parts;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
26;47;19;50:00.5;3;3;;;2;5;Assessment done in 2017;Assessment done in 2017;49:49.2;;49:49.2;Jim McColl
27;47;25;59:18.0;2;2;Implement visitor log, for audit trail and roll-call;install badge reader access;2;2;Assessment done in 2017;Assessment done in 2017;56:11.6;;56:11.6;Jim McColl
28;47;26;59:34.3;2;2;Camera surveillance might be considered;Camera surveillance might be considered;2;2;Assessment done in 2017;Assessment done in 2017;57:16.8;;57:16.8;Jim McColl
29;47;21;59:39.2;1;1;clean room and remove lose cabling and boxes;clean room and remove lose cabling and boxes;2;2;Assessment done in 2017;Assessment done in 2017;53:42.0;;53:42.0;Jim McColl
30;47;32;01:32.7;1;1;;;2;2;Assessment done in 2017;Assessment done in 2017;01:29.4;;01:29.4;Jim McColl
31;47;23;06:23.1;3;3;;;5;5;;Assessment done in 2017;54:08.8;;54:08.8;Jim McColl
32;47;22;06:30.0;3;3;;;5;5;;Assessment done in 2017;54:32.7;;54:32.7;Jim McColl
33;47;24;06:36.0;3;3;;;5;5;;Assessment done in 2017;54:59.2;;54:59.2;Jim McColl
34;47;20;06:57.2;1;1;;;2;2;Assessment done in 2017;Assessment done in 2017;52:43.1;;52:43.1;Jim McColl
35;47;33;07:03.0;1;1;According to assessment daisy chained RPDU's present;According to assessment daisy chained RPDU's present;2;2;Assessment done in 2017;Assessment done in 2017;02:28.3;;02:28.3;Jim McColl
36;47;27;07:07.9;1;1;Implement visitor log, for audit trail and roll-call;Implement visitor log, for audit trail and roll-call;2;2;Assessment done in 2017;Assessment done in 2017;58:15.9;;58:15.9;Jim McColl
37;47;42;07:16.5;1;1;Cabling is in a bad shape. implement cable organizers and proper length cabling;Cabling is in a bad shape. implement cable organizers and proper length cabling;2;2;Assessment done in 2017;Assessment done in 2017;05:18.3;;05:18.3;Jim McColl
38;48;53;38:17.0;2;2;Deploy Skype;Deploy Skype;2;2;Legacy Cisco solution is deployed;Legacy Cisco solution is deployed;37:54.8;;37:54.8;Jim McColl
39;48;54;38:19.4;2;2;;;2;2;;;38:10.4;;38:10.4;Jim McColl
40;48;43;38:22.8;2;2;;;2;2;Routers approaching EOL;Routers approaching EOL;33:20.8;;33:20.8;Jim McColl
41;48;46;38:27.0;2;2;;;2;2;LAN is compliant but switches should be planned to be replaced;LAN is compliant but switches should be planned to be replaced;34:51.6;;34:51.6;Jim McColl
42;48;51;39:36.7;2;2;;;2;2;Meraki MX80 is approaching EOL;Meraki MX80 is approaching EOL;39:17.9;;39:17.9;Jim McColl
43;48;50;39:45.0;2;2;;;2;2;WAPs compliant but will not support wifi6;WAPs compliant but will not support wifi6;36:56.9;;36:56.9;Jim McColl
44;3;45;23:11.4;3;3;;;6;6;;SD WAN completed with appropriately sized MPLS and Internet circuits.;;;;
45;57;11;48:43.0;1;3;Not applicable;Not applicable;4;4;;;54:20.9;;54:20.9;ASHISH KHADKE
46;98;9;37:40.9;2;3;Iosafe devices are out of warranty.;Iosafe devices are out of warranty.;5;5;;;55:05.2;;55:05.2;ASHISH KHADKE
47;51;46;09:31.5;3;3;;;6;6;;Hardware is compliant;08:48.3;;08:48.3;David Vergara Manrique
48;51;52;15:53.2;2;2;;;2;2;Some WAPs are compliant but will not support wifi6;;11:38.5;;11:38.5;David Vergara Manrique
49;53;1;54:07.8;3;3;;;4;5;;;54:02.8;;54:02.8;DEVAPRABHUPENNIEL CHELLAPPA
50;54;7;00:47.9;2;3;;Only two servers available at the site no VMs. In the future during LC, we can look out for an option to virtualize the shared application server if it has no dependency locally.;5;5;;;58:29.9;;58:29.9;DEVAPRABHUPENNIEL CHELLAPPA
51;47;42;25:12.5;1;1;Cabling is in a bad shape. implement cable organizers and proper length cabling;(Sep 1 2020 update) Cabling is in a bad shape. implement cable organizers and proper length cabling;2;2;Assessment done in 2017;(Sep 1 2020 update) Assessment done in 2017;05:18.3;;07:16.5;Jim McColl
52;15;18;58:46.2;3;3;racks are almost not reachable due to huge amount of cabling hanging out of racks. build new CR;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
53;15;40;58:59.8;1;3;replace racks;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
54;15;40;59:26.3;3;3;;;5;5;New build completed;New build completed;;;58:59.8;FABIO FERKET
55;93;45;29:28.7;3;2;;SD WAN to be deployed;6;3;WAN has standard design with appropriate redundancy;Environment is on the legacy solution.;51:06.1;;51:06.1;CHRIS SOUTHERN
56;45;47;22:48.0;1;1;;;2;2;;;37:26.0;;37:26.0;Nadelin Georgiev
57;43;43;38:20.0;2;2;;;2;2;;Dual internet connecitivity with hardware almost EOL;26:42.3;;26:42.3;Nadelin Georgiev
58;43;44;38:50.0;2;2;;;2;2;;Periods of high utilisation;36:18.7;;36:18.7;Nadelin Georgiev
59;43;46;39:35.0;2;2;Plan to replace 2960X;Plan to replace 2960X;2;2;;2960X models are deployed but are approaching EOL;28:45.2;;43:37.1;Nadelin Georgiev
60;110;52;27:57.8;1;1;;Deploy standard model for plant core;2;2;No security solutions were found;;46:11.3;;46:11.3;CHRIS SOUTHERN
61;43;49;41:07.4;1;1;;;2;2;;Some EOL WAPs are deployed;29:12.9;;29:12.9;Nadelin Georgiev
62;43;50;41:30.3;2;2;;;2;2;;WAPs will not support wifi6;35:03.2;;35:03.2;Nadelin Georgiev
63;43;53;42:07.6;1;1;;;2;2;;No supported voice solution was found;30:18.3;;30:18.3;Nadelin Georgiev
64;44;43;47:02.8;2;2;;;2;2;;Standard solution is deployed, cisco routers approaching EOL;12:31.8;;12:31.8;Nadelin Georgiev
65;44;44;47:22.2;2;2;;;2;2;;Network capacity is appropriate with occiasional high utilisation;17:23.5;;17:23.5;Nadelin Georgiev
66;44;46;47:59.6;1;1;Replace EOL switches;Replace EOL switches;2;2;;There are EOL switches in the LAN;12:59.1;;12:59.1;Nadelin Georgiev
67;44;47;49:14.3;2;2;Replace non standard media conv;Replace non standard medReplace non standard media convia conv;2;2;;Media converters found in the LAN;16:26.1;;16:26.1;Nadelin Georgiev
68;44;52;23:30.8;3;2;;Add hardware redundancy to the plant L2 network;2;2;;Tier 1 location is required to have hardware redundancy.;16:47.6;;16:47.6;Nadelin Georgiev
69;44;49;50:52.5;2;2;wireless assessment;wireless assessment;2;2;;Most WAPs approaching EOL;13:30.5;;13:30.5;Nadelin Georgiev
70;44;45;51:49.5;3;3;;;2;2;;WAPs compliant but will not support wifi6;16:07.2;;16:07.2;Nadelin Georgiev
71;44;51;52:39.4;3;3;;;2;2;;Standard plant segmentation solution;14:47.2;;14:47.2;Nadelin Georgiev
72;44;53;53:04.6;1;1;Deploy standard Skype;Deploy standard Skype;2;2;;no supported voice solution was found;15:08.1;;15:08.1;Nadelin Georgiev
73;45;1;57:28.6;1;1;VHNLBEZO002  & VHNLBEZO003 Out of warranty.  MSNLBEPL004,  MSNLBERO001, MSNLBEPL005  --MSNLBEZO001- 2008 OS;VHNLBEZO002  & VHNLBEZO003 Out of warranty.  MSNLBEPL004,  MSNLBERO001, MSNLBEPL005  --MSNLBEZO001- 2008 OS;2;2;;2008 OS servers need to be decommissioned and replaced with newer ones.;30:09.3;;30:09.3;Nadelin Georgiev
74;45;6;57:41.9;1;1;VHNLBEZO002  _ NOn clustered;VHNLBEZO002  _ NOn clustered;2;2;;two new ESX hosts are in place but needs to be in production soon.;32:28.3;;32:28.3;Nadelin Georgiev
75;45;43;58:31.0;3;3;Routers to be replaced by September 2020;Routers to be replaced by September 2020;2;2;;SD WAN project should replace hardware;40:04.0;;40:04.0;Nadelin Georgiev
76;45;46;58:45.5;1;1;LAN refresh project, to resolve daisy chains, EOL devices, fibre infra;LAN refresh project, to resolve daisy chains, EOL devices, fibre infra;2;2;;P-612415 - replaces one EOL switch but does not impact overall score;37:11.6;;37:11.6;Nadelin Georgiev
77;45;53;59:10.6;1;1;;;2;2;;Mixed environment of PBX and Cisco IPT;38:57.6;;38:57.6;Nadelin Georgiev
78;45;54;59:33.2;1;1;;;2;2;;Skype for Business is the Cargill standard;39:22.9;;39:22.9;Nadelin Georgiev
79;1;15;09:48.8;1;1;same as above;same as above (Aug 2020);1;1;;Under review;;;;
80;15;16;56:24.2;3;3;multiple windows present, floor and walls in bad shape, room is too small for the amount of equipment. Build new CR;;3;5;new building (shelter) arrived on site end iof August;new building (shelter) installed;;;;
81;15;39;59:41.4;3;3;non standard racks, open racks without any security. replace racks;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
82;15;37;59:56.9;2;3;check whether regular maintenance is performed;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
83;15;30;00:10.8;2;3;check whether regular maintenance is performed;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
84;15;27;00:34.3;3;3;no access ,ogging kept up to date;;3;5;new building (shelter) arrived on site end iof August;;;;;
85;50;8;02:53.4;3;3;;;2;5;;;35:21.3;;35:21.3;Nadelin Georgiev
86;9;52;11:59.8;3;1;;Re-design L3 & L2 plant LAN to install appropriate hardware and provide redundancy;6;2;;;;;;
87;50;9;04:07.7;3;1;;Local iosafe device is out of warrantly. Secondary copy going to SVG DC;2;5;;;32:49.2;;32:49.2;Nadelin Georgiev
88;53;9;04:28.7;1;1;iosafe device is out of warrant and needs replacement.;Local iosafe device is out of warrantly. Secondary copy going to SVG DC;5;5;;;52:16.7;;52:16.7;ASHISH KHADKE
89;50;9;08:56.0;1;1;Local iosafe device is out of warrantly. Secondary copy going to SVG DC;Local QNAP device is out of warrantly. Secondary copy going to SVG DC;5;5;;;32:49.2;;04:07.7;ASHISH KHADKE
90;19;52;38:59.8;3;3;;;6;6;Standard, fully supported HA firewalls are deployed;Standard, fully supported HA design is deployed in plant LAN;;;59:19.6;CHRIS_SOUTHERN@CRGL-THIRDPARTY.COM
91;59;11;47:57.3;1;1;No local storage device at site;No local storage device at site;6;6;;No  local storage device at this site.;47:09.7;;47:09.7;ASHISH KHADKE
92;62;12;02:14.9;1;1;No local storage device at this site.;No local storage device at this site.;2;6;No local storage device at this site.;No local storage device at this site.;02:05.4;;02:05.4;ASHISH KHADKE
93;67;51;25:56.1;3;3;;;6;6;Back in 2017 during plant segmentation project the BU decided that a single firewall design suited them. Assumption here that this still stands.;Back in 2017 during plant segmentation project the BU decided that a single firewall design suited them. Assumption here that this still stands. Firewall model still within life cycle. Software update to be taken care of via non-Perimeter project.;24:07.6;;24:07.6;ALEX ABREU
94;52;53;22:50.2;1;3;Upgrade to Skype for Business;No further remediation needed.;3;5;Project open already - with Augmentation team;P-617702 project has delivered standard hardware and OS (Skype for Business)Project open already - with Augmentation team;53:50.1;;53:50.1;David Vergara Manrique
95;52;54;23:28.5;1;3;Upgrade to Skype for Business;No further remediation needed.;3;5;Project open already - with Augmentation team;P-617702 project delivered standard Skype for Business solution.Project open already - with Augmentation team;54:12.0;;54:12.0;David Vergara Manrique
96;62;47;28:17.9;1;1;LAN and Cable Assessment is highly recommended.;LAN and Cable Assessment is highly recommended.;2;2;Single points of failure found in LAN;Single points of failure found in Admin LAN, and also plant LAN;25:31.2;;25:31.2;CHRIS SOUTHERN
97;63;46;56:44.3;2;2;;;2;2;Some LAN devices approaching end of support status with Cisco;Some LAN devices approaching end of support status with Cisco, some LAN devices are legacy un-managed.;54:02.5;;54:02.5;CHRIS SOUTHERN
98;63;49;02:42.0;2;2;Wifi assessment and redesign;Wifi assessment and redesign;2;2;Some new WAPs deployed by life cycle but some older legacy and unsupported WAPs;Some new WAPs deployed by life cycle but some older legacy and unsupported WAPs, no wireless lan controller found at the site;02:09.9;;02:09.9;CHRIS SOUTHERN
99;63;50;02:47.0;2;2;;;2;2;;Some new WAPs deployed by life cycle but some older legacy and unsupported WAPs;02:19.6;;02:19.6;CHRIS SOUTHERN
100;63;39;37:42.5;3;3;;;2;6;;note that score is based on remediation as part of P-172176 1.5yrs ago;12:51.7;;12:51.7;FABIO FERKET
101;65;46;09:28.1;1;2;New CR being installed P-797728;New CR being installed P-797728;3;3;;LAN has redundancy but has some devices approaching EOL;53:20.1;;53:20.1;FABIO FERKET
102;65;47;09:41.8;1;3;New CR being installed P-797728;New CR being installed P-797728;3;3;;LAN has appropriate redundancy;53:25.3;;53:25.3;FABIO FERKET
103;65;43;12:21.9;1;2;New CR being installed P-797728;SDWAN project will replace WAN infra;3;3;;Routers approaching EOL hardware status;55:56.1;;55:56.1;FABIO FERKET
104;65;49;14:31.8;1;3;New CR being installed P-797728;WIFI ASSESSMENT;3;3;;Only three supported WAPs found in the inventory, all three are current models.;56:15.1;;56:15.1;FABIO FERKET
105;65;50;15:29.6;1;1;New CR being installed P-797728;WIFI ASSESSMENT;3;3;;Unsupported wap(s) in the LAN, unknown if there are more mthan one.  apdeve001;56:21.4;;56:21.4;FABIO FERKET
106;15;33;00:47.4;3;3;potentially daisy chained RPDU's present. check and in case present, solve this by adding circuits to eliminated daisy chained RPDU's. this is a fire safety hazard;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
107;15;41;01:36.6;1;2;devices piled up, and mounted wrongly;;3;3;new building (shelter) arrived on site end iof August;cabling still needs some improvement;;;;
108;15;24;02:02.1;1;3;install at least one hand held fire extinguisher;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
109;15;22;02:27.6;1;3;no fire rating present;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
110;15;23;02:37.0;3;3;;;3;5;new building (shelter) arrived on site end iof August;new building (shelter) arrived on site end iof August;;;;
111;15;17;02:53.2;1;3;no door closer present. install door closer;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
112;15;29;03:08.8;2;3;no redendancy. (not required);;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
113;15;28;03:20.4;2;3;based on room cooling however unit build in between racks, move unit;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
114;15;25;03:49.2;1;3;room is not secure. build ne CR;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
115;15;21;03:59.3;3;3;remove boxes, debries, dirt;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
116;15;32;04:11.7;1;3;common net used. dedicate power to CR;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
117;15;38;04:22.0;2;3;check capacity;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
118;15;31;04:31.0;3;3;;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
119;15;26;04:43.6;3;3;increase security, by either removing windows or install camera's;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
120;15;19;04:53.5;3;3;no trays present, wiring hangs in the air. completely recable the CR;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
121;15;42;05:09.2;3;3;cabling is a big mess. reinstall all cabling;;3;5;new building (shelter) arrived on site end iof August;New build completed;;;;
122;58;46;37:08.9;2;3;life-cycle;;2;6;EOL devices found in the LAN;LAN switches are all within life cycle;39:37.3;;39:37.3;CHRIS SOUTHERN
123;65;44;11:47.4;1;1;New CR being installed P-797728;SDWAN project will replace WAN infra;3;3;;WAN has frequent high utilisation there is a risk of performance issues if one of the two WAN links were to fail;53:30.8;;53:30.8;FABIO FERKET
124;65;45;13:03.4;1;2;New CR being installed P-797728;SDWAN project will replace WAN infra;3;3;;WAN has appropriate redundancy, but there is a high risk of performance issues in the event of one circuit failure.;56:02.7;;56:02.7;FABIO FERKET
125;57;22;01:27.7;3;1;;fire rating is less than 60 minutes which is not according to standard and insurance. increase fire rating;2;2;;;00:32.6;;00:32.6;FABIO FERKET
126;57;19;10:24.5;3;3;;;2;6;;;55:47.8;;55:47.8;FABIO FERKET
127;57;31;10:37.7;3;3;;;2;6;;;57:01.8;;57:01.8;FABIO FERKET
128;57;38;10:50.9;3;3;;;2;6;;;58:05.0;;58:05.0;FABIO FERKET
129;57;32;11:03.8;3;3;;;2;6;;;58:21.3;;58:21.3;FABIO FERKET
130;57;25;11:10.7;3;3;;;2;6;;;59:08.8;;59:08.8;FABIO FERKET
131;57;17;11:29.0;3;3;;;2;6;;;59:40.6;;59:40.6;FABIO FERKET
132;57;36;11:39.4;3;3;;;2;6;;;00:01.6;;00:01.6;FABIO FERKET
133;57;23;11:46.5;3;3;;;2;6;;;00:25.6;;00:25.6;FABIO FERKET
134;57;41;13:36.7;2;3;non standard racks, consider changing during lifecycle;;2;6;;;03:34.7;;03:34.7;FABIO FERKET
135;64;19;04:28.7;3;3;;;2;6;;;04:21.8;;04:21.8;FABIO FERKET
136;46;46;48:46.9;1;3;LAN Assessment;;2;2;EOL, unsupported devices found;Life-cycling of Core LAN devices done Oct 2020;08:51.8;;08:51.8;Nadelin Georgiev
137;58;47;41:52.0;2;2;lifecycle;lifecycle;3;3;Some EOL devices found in the LAN;Redundancy found in the LAN but core switches are approaching EOL status;39:06.0;;39:06.0;CHRIS SOUTHERN
138;57;33;16:11.4;2;2;RPDU's are not standard, but server grade. no immediate need for replacement. capacity is sufficient;RPDU's are not standard, but server grade. no immediate need for replacement. capacity is sufficient, Despite the fact this item can’t be corrected, awareness should be raised that this is a bottleneck in the chain of availability.;2;2;;;04:15.7;;04:15.7;FABIO FERKET
139;61;25;30:26.4;1;1;No facilities information available, however project P-782212 is in progress to assess site;No facilities information available, however project P-782212 is in progress to assess site;4;3;;;30:19.2;;30:19.2;FABIO FERKET
140;69;32;43:09.8;2;3;clean up CR;clean up CR;3;5;;;41:58.1;;41:58.1;FABIO FERKET
141;66;13;33:57.3;3;3;Not applicable for this site.;;2;2;;Not applicable for this site.;23:52.8;;23:52.8;DEVAPRABHUPENNIEL CHELLAPPA
142;66;15;34:05.4;3;3;Not applicable for this site.;;2;2;;Not applicable for this site.;23:42.7;;23:42.7;DEVAPRABHUPENNIEL CHELLAPPA
143;72;16;36:26.3;3;3;;;2;5;;;36:15.1;;36:15.1;FABIO FERKET
144;72;35;36:50.6;3;3;;;2;5;;;36:34.9;;36:34.9;FABIO FERKET
145;72;20;38:19.0;1;1;remove spare parts from CR;remove spare parts from CR;2;2;;part of p-511704;37:15.7;;37:15.7;FABIO FERKET
146;72;28;50:15.9;2;1;consider redundancy and leakage protection;consider leakage protection. unit located directly above power cable cove;2;2;part of p-511704;part of p-511704;49:26.0;;49:26.0;FABIO FERKET
147;19;50;41:36.4;3;3;;;6;6;Full wireless design was completed and deployed to standards;Full wireless design was completed and deployed to standards;;;01:54.6;CHRIS_SOUTHERN@CRGL-THIRDPARTY.COM
148;69;43;17:28.2;2;2;Replace both routers by December 2022 when hardware end of life is reached.;Replace both routers by December 2022 when hardware end of life is reached.;2;3;P-474706 - GN-Software-defined Wide Area Network (SD WAN) Program: EMEA Implementation - this project should take care of router replacement. Current schedule has this taking place in June 2021, which is well within life cycle of the existing hardware.;P-474706 - GN-Software-defined Wide Area Network (SD WAN) Program: EMEA Implementation - this project should take care of router replacement. Current schedule has this taking place in June 2021, which is well within life cycle of the existing hardware.;12:29.9;;12:29.9;ALEX ABREU
149;21;47;58:22.4;3;3;;;6;6;LAN has appropriate HA;LAN has full redundancy and admin core swt HA;;;15:42.5;CHRIS_SOUTHERN@CRGL-THIRDPARTY.COM
150;18;49;54:24.7;2;2;;P-844101 - CQN North Sea - Network LAN & Wireless redesign project should address hardware compliance issue. This is not a definite remark by the way. It is the information known at this time.;2;2;mixture of devices and some areas without coverage;mixture of devices and some areas without coverage; P-829506 - CQN North Sea - Wireless coverage improvement Florø small work installed compliant devices in the Quay but this is just one area of a large location so hence score stays the same.;;;;
151;1;53;59:06.0;1;3;Skype deployment project proposed;;2;6;Non standard, unsupported voice solution;P-458903 - CSSTE Malchin PBX Replacement project deployed Skype for business.;;;;
152;1;54;59:19.4;1;3;Skype deployment project proposed;;2;6;Non standard, unsupported voice solution;P-458903 - CSSTE Malchin PBX Replacement project deployed Skype for business.;;;;
153;74;46;02:32.6;3;3;;;2;2;;There is only one LAN device which is has current standard hardware;01:55.6;;01:55.6;CHRIS SOUTHERN
154;72;11;44:03.6;2;3;;;5;5;;;43:53.5;;43:53.5;ASHISH KHADKE
155;85;25;38:59.3;1;2;introduce electronic keylock as bare minimum, badge reader access is preferred;badge reader access is preferred, lock with key code is available;2;2;;;33:46.5;;33:46.5;FABIO FERKET
156;36;43;03:39.5;2;3;;;2;6; ;Standard SDWAN devices are deployed;;;;
157;36;45;04:02.7;2;3;;;2;6;;Standard SDWAN solution is deployed with full HA;;;;
158;3;53;38:54.1;1;3;Local PBX presently;No further remediation required.;2;6;To upgrade to cargill standard solution (Skype);P-293714 replaced legacy PBX with Cargill approved Skype for Business solution (with Cargill approved hardware).;;;;
159;3;54;39:34.1;1;3;;No remediation required.;2;6;;P-293714 took care of replacing legacy PBX solution with Cargill standard Skype for Business. Also note that legacy ISDN was converted to SIP (Colt). Conversion to MS Team and Central SIP will take place via already open domain projects.;;;;
160;65;39;54:22.1;1;1;New CR being installed P-797728;New CR being installed P-797728;4;3;;;54:15.5;;54:15.5;FABIO FERKET
161;58;4;19:59.1;3;3;;;2;2;;;19:53.0;;19:53.0;DEVAPRABHUPENNIEL CHELLAPPA
162;57;5;28:37.0;3;3;;;2;2;Not applicable to this site.;;28:29.3;;28:29.3;DEVAPRABHUPENNIEL CHELLAPPA
163;61;1;48:31.0;3;3;;;5;5;;MSDEBERL005 – warranty expired – It is being replaced with the new server MSDEBERL011_ validation is in progress.;48:06.5;;48:06.5;DEVAPRABHUPENNIEL CHELLAPPA
164;61;1;48:39.1;3;3;;;5;3;MSDEBERL005 – warranty expired – It is being replaced with the new server MSDEBERL011_ validation is in progress.;MSDEBERL005 – warranty expired – It is being replaced with the new server MSDEBERL011_ validation is in progress.;48:06.5;;48:31.0;DEVAPRABHUPENNIEL CHELLAPPA
165;60;8;50:42.2;3;3;;;2;2;Not applicable for this site.;;50:22.2;;50:22.2;DEVAPRABHUPENNIEL CHELLAPPA
166;60;4;51:18.3;1;3;No facilities information available, however project P-782212 is in progress to assess site;;3;3;;Not applicable for this site.;24:55.7;;24:55.7;FABIO FERKET
167;60;15;51:26.9;1;3;No facilities information available, however project P-782212 is in progress to assess site;;3;3;;Not applicable for this site.;25:00.4;;25:00.4;FABIO FERKET
168;60;13;51:34.5;1;3;No facilities information available, however project P-782212 is in progress to assess site;;3;3;;Not applicable for this site.;25:05.3;;25:05.3;FABIO FERKET
169;60;1;51:46.2;1;3;No facilities information available, however project P-782212 is in progress to assess site;;3;2;;Not applicable for this site.;25:16.4;;25:16.4;FABIO FERKET
170;60;6;51:55.8;1;3;No facilities information available, however project P-782212 is in progress to assess site;;3;2;;Not applicable for this site.;25:21.9;;25:21.9;FABIO FERKET
171;60;15;52:02.2;3;3;;;3;2;Not applicable for this site.;Not applicable for this site.;25:00.4;;51:26.9;DEVAPRABHUPENNIEL CHELLAPPA
172;60;4;52:07.5;3;3;;;3;2;Not applicable for this site.;Not applicable for this site.;24:55.7;;51:18.3;DEVAPRABHUPENNIEL CHELLAPPA
173;60;13;52:11.9;3;3;;;3;2;Not applicable for this site.;Not applicable for this site.;25:05.3;;51:34.5;DEVAPRABHUPENNIEL CHELLAPPA
174;60;9;52:18.7;1;1;No facilities information available, however project P-782212 is in progress to assess site;No facilities information available, however project P-782212 is in progress to assess site;3;2;;;24:00.6;;24:00.6;FABIO FERKET
